       +----------+----------+
     8 | 1.082192 | 1.082192 |
    16 | 1.237500 | 1.178571 |
    24 | 1.271605 | 1.303797 |
    32 | 1.361446 | 1.414634 |
    40 | 1.433333 | 1.600000 |
    48 | 1.427083 | 1.767442 |
    56 | 1.514851 | 1.791667 |
    64 | 1.582524 | 1.891089 |
    72 | 1.990826 | 2.087379 |
    80 | 2.142857 | 2.016949 |
    88 | 2.215517 | 2.276786 |
    96 | 2.313559 | 2.142857 |
   104 | 2.281250 | 2.416667 |
   112 | 2.358779 | 2.375000 |
   120 | 2.376812 | 2.473282 |
   120 | 2.414815 | 2.488550 |
   160 | 2.546584 | 2.715232 |
   200 | 2.797753 | 2.829545 |
   240 | 2.920792 | 2.984772 |
   280 | 3.035556 | 2.982379 |
   320 | 3.072289 | 3.035857 |
   360 | 3.170370 | 3.162963 |
   400 | 3.236301 | 3.226027 |
   440 | 3.343042 | 3.323625 |
   480 | 3.340299 | 3.360360 |
   520 | 3.387640 | 3.365922 |
   560 | 3.444149 | 3.390052 |
   600 | 3.476190 | 3.453865 |
   640 | 3.456471 | 3.468085 |
   680 | 3.476615 | 3.472160 |
   720 | 3.538627 | 3.519231 |
   760 | 3.543967 | 3.548057 |
   800 | 3.583497 | 3.544747 |
   840 | 3.598870 | 3.601887 |
   880 | 3.598921 | 3.595324 |
   920 | 3.606218 | 3.594828 |
   960 | 3.649916 | 3.634391 |
  1000 | 3.624000 | 3.619200 |
  1000 | 3.644695 | 3.635048 |
  1400 | 3.737218 | 3.722749 |
  1800 | 3.814394 | 3.774648 |
  2200 | 3.835938 | 3.841034 |
  2600 | 3.826948 | 3.849634 |
  3000 | 3.121552 | 3.872167 |
  3400 | 2.873480 | 3.877247 |
  3800 | 2.878240 | 3.885306 |
  4200 | 2.887581 | 3.832991 |
  4600 | 2.885213 | 3.496571 |
  5000 | 2.894489 | 3.504904 |
  5400 | 2.875721 | 3.526688 |
  5800 | 2.900181 | 3.520702 |
  6200 | 2.858571 | 2.547327 |
  6600 | 2.891507 | 3.511544 |
  7000 | 2.907606 | 3.513274 |
  7400 | 2.860689 | 3.496687 |
  7800 | 2.886212 | 3.527511 |
  8200 | 2.510997 | 3.449286 |
  8600 | 2.898871 | 3.524666 |
  9000 | 2.888631 | 3.502289 |
  9400 | 2.876212 | 3.520936 |
  9800 | 2.893697 | 3.523438 |
 10000 | 2.854780 | 3.492884 |
 11000 | 2.892725 | 3.533595 |
 12000 | 2.866898 | 3.498283 |
 13000 | 2.918760 | 3.541718 |
 14000 | 2.872386 | 3.503118 |
 15000 | 2.849729 | 3.535726 |
 16000 | 2.726979 | 3.496187 |
 17000 | 2.650925 | 3.530835 |
 18000 | 2.593646 | 3.490775 |
 19000 | 2.635051 | 3.515588 |
 20000 | 2.549039 | 3.429802 |
 21000 | 2.418960 | 3.447920 |
 22000 | 2.538289 | 3.398895 |
 23000 | 2.524483 | 3.449121 |
 24000 | 2.382659 | 3.419563 |
 25000 | 2.381724 | 3.526215 |
 26000 | 2.326090 | 3.324720 |
 27000 | 2.269367 | 3.386404 |
 28000 | 2.260852 | 3.307914 |
 29000 | 2.279736 | 3.376020 |
 30000 | 2.260283 | 3.366947 |
 31000 | 2.219060 | 3.126551 |
 32000 | 2.171220 | 3.299651 |
 33000 | 2.143647 | 3.153448 |
 34000 | 1.953037 | 3.264209 |
 35000 | 2.030299 | 3.150675 |
 36000 | 2.092730 | 3.153369 |
 37000 | 2.011647 | 3.034832 |
 38000 | 2.046925 | 3.112166 |
 39000 | 2.020067 | 2.950141 |
 40000 | 1.971314 | 3.098664 |
 41000 | 1.976552 | 3.142428 |
 42000 | 1.984969 | 2.856907 |
 43000 | 1.875759 | 2.979362 |
 44000 | 1.977309 | 3.014199 |
 45000 | 1.977309 | 3.019013 |
 46000 | 1.947742 | 2.908048 |
 47000 | 1.970351 | 2.982251 |
 48000 | 1.952177 | 2.836101 |
 49000 | 1.949674 | 3.026103 |
 50000 | 1.916785 | 2.823887 |
 51000 | 1.947701 | 2.900466 |
 52000 | 1.941950 | 2.773366 |
 53000 | 1.827749 | 2.898965 |
 54000 | 1.932980 | 2.775759 |
 55000 | 1.949037 | 2.861467 |
 56000 | 1.938489 | 2.842288 |
 57000 | 1.947014 | 2.780384 |
 58000 | 1.940432 | 2.828000 |
 59000 | 1.947987 | 2.831963 |
 60000 | 1.931272 | 2.896463 |
 61000 | 1.971860 | 2.793803 |
 62000 | 1.956290 | 2.831560 |
 63000 | 1.942730 | 2.806662 |
 64000 | 1.949525 | 2.781553 |
 65000 | 1.946104 | 2.921846 |
 66000 | 1.825651 | 2.770324 |
 67000 | 1.942839 | 2.778477 |
 68000 | 1.945852 | 2.881723 |
 69000 | 1.945885 | 2.896323 |
 70000 | 1.947898 | 2.908283 |
 71000 | 1.945715 | 2.877600 |
 72000 | 1.946610 | 2.849551 |
 73000 | 1.947115 | 2.874200 |
 74000 | 1.941482 | 2.887292 |
 75000 | 1.946513 | 2.859810 |
 76000 | 1.939884 | 2.858174 |
 77000 | 1.946656 | 2.858402 |
 78000 | 1.948133 | 2.901664 |
 79000 | 1.943238 | 2.935221 |
 80000 | 1.945591 | 2.898758 |
 81000 | 1.943323 | 2.857699 |
 82000 | 1.945431 | 2.862900 |
 83000 | 1.949837 | 2.859764 |
 84000 | 1.937466 | 2.894011 |
 85000 | 1.945350 | 2.764028 |
 86000 | 1.960337 | 2.901557 |
 87000 | 1.936498 | 2.851749 |
 88000 | 1.951627 | 2.827731 |
 89000 | 1.939176 | 2.767629 |
 90000 | 1.946833 | 2.859787 |
 91000 | 1.941888 | 2.765594 |
 92000 | 1.943265 | 2.829626 |
 93000 | 1.940737 | 2.763394 |
 94000 | 1.934276 | 2.848990 |
 95000 | 1.930005 | 2.765621 |
 96000 | 1.962492 | 2.835698 |
 97000 | 1.948861 | 2.856345 |
 98000 | 1.944620 | 2.861311 |
 99000 | 1.919578 | 2.768712 |
100000 | 1.945784 | 2.858456 |
       +----------+----------+
