1	8	0.205422	1.028169	1.042857	3.39933e-08	3.25963e-08
1	16	0.396701	1.000000	1.109589	3.77186e-08	3.39933e-08
1	24	0.597102	1.064935	1.222222	4.61005e-08	3.77186e-08
1	32	0.326499	0.954545	1.463415	5.58794e-08	3.81842e-08
1	40	0.095142	0.964286	1.632911	6.00703e-08	3.67872e-08
1	48	-0.723500	0.977273	1.430000	6.65896e-08	4.65661e-08
1	56	-0.672444	0.956522	1.806818	7.40401e-08	4.09782e-08
1	64	0.454873	0.957447	1.872340	8.19564e-08	4.37722e-08
1	72	-1.438607	0.934579	1.942857	9.49949e-08	4.88944e-08
1	80	0.631146	0.912621	2.079208	9.77889e-08	4.70318e-08
1	88	-2.337117	0.908257	2.203883	1.05705e-07	4.79631e-08
1	96	-2.245098	0.838983	2.242991	1.11759e-07	4.98258e-08
1	104	-0.714117	0.903509	2.381818	1.22003e-07	5.12227e-08
1	112	-1.999982	0.847328	2.317460	1.35973e-07	5.86733e-08
1	120	-2.990780	0.824427	2.357143	1.38301e-07	5.86733e-08
1	120	-2.990780	0.859259	1.808140	1.44821e-07	8.00937e-08
1	160	-4.328344	0.841772	2.646667	1.84868e-07	6.98492e-08
1	200	-1.764393	0.820225	2.815029	2.26777e-07	8.05594e-08
1	240	-3.119177	0.786802	2.639423	2.55648e-07	9.68575e-08
1	280	-0.536408	0.990566	2.953052	2.92901e-07	9.91859e-08
1	320	2.892067	0.991379	3.055085	3.35742e-07	1.09896e-07
1	360	2.937993	0.992218	3.116732	3.72995e-07	1.19675e-07
1	400	1.812090	0.989726	3.164384	4.30271e-07	1.35973e-07
1	440	-1.555744	0.993197	3.265101	4.53088e-07	1.38767e-07
1	480	0.151308	1.000000	3.279503	4.91738e-07	1.49943e-07
1	520	-0.677433	0.994100	3.351032	5.28991e-07	1.57859e-07
1	560	-2.443310	0.991597	3.443820	5.70901e-07	1.65775e-07
1	600	-0.278234	0.994987	3.415000	6.36093e-07	1.86265e-07
1	640	3.452921	0.987685	3.367150	6.49132e-07	1.92784e-07
1	680	5.059175	0.992874	3.521429	6.88713e-07	1.95578e-07
1	720	3.737694	0.982143	3.465632	7.27829e-07	2.10013e-07
1	760	5.951969	0.995708	3.523605	7.64616e-07	2.16998e-07
1	800	5.520453	1.000000	3.571429	8.03266e-07	2.24914e-07
1	840	6.603466	0.992481	3.706458	8.81962e-07	2.37953e-07
1	880	10.255632	0.992780	3.577617	9.22941e-07	2.57976e-07
1	920	13.868761	0.994526	3.616088	9.21078e-07	2.54717e-07
1	960	15.671886	0.982609	3.593043	9.62056e-07	2.67755e-07
1	1000	14.658035	0.994941	3.623946	1.00071e-06	2.76137e-07
1	1000	14.658035	0.998390	3.632258	1.04867e-06	2.8871e-07
1	1400	9.240727	0.997509	3.718012	1.39372e-06	3.74857e-07
1	1800	19.369257	1.000000	3.796040	1.78535e-06	4.70318e-07
1	2200	18.160397	0.998371	3.811736	2.1779e-06	5.71366e-07
1	2600	13.788154	0.998614	3.843315	2.56998e-06	6.6869e-07
1	3000	12.985161	0.980193	3.873934	2.96207e-06	7.64616e-07
1	3400	-1.997406	1.002386	3.862661	3.35276e-06	8.67993e-07
1	3800	0.746507	0.972261	3.872987	3.91901e-06	1.01188e-06
1	4200	-0.244507	1.001864	3.810401	4.33298e-06	1.13714e-06
1	4600	3.653791	0.999115	3.510823	4.53182e-06	1.29081e-06
1	5000	-1.291553	0.994547	3.319309	4.92297e-06	1.48313e-06
1	5400	-1.891944	0.998493	3.511678	5.32111e-06	1.51526e-06
1	5800	4.243535	0.992435	3.514179	5.71273e-06	1.62562e-06
1	6200	3.564689	1.004112	3.485775	6.10482e-06	1.75135e-06
1	6600	10.290324	1.002681	3.498495	6.49691e-06	1.85706e-06
1	7000	20.644974	0.994947	3.495864	6.8876e-06	1.97021e-06
1	7400	18.363852	0.996884	3.512239	7.28294e-06	2.07359e-06
1	7800	12.876511	0.976906	3.352319	7.6741e-06	2.28919e-06
1	8200	7.707739	1.002798	3.459940	8.06386e-06	2.33063e-06
1	8600	6.557306	1.001675	3.524499	8.84291e-06	2.50898e-06
1	9000	4.668266	0.997058	3.529532	8.84896e-06	2.50712e-06
1	9400	1.528246	1.046741	3.517816	9.24058e-06	2.6268e-06
1	9800	-5.614679	0.991904	3.512307	9.635e-06	2.74321e-06
1	10000	-10.810564	0.992710	3.489995	9.82732e-06	2.81585e-06
1	11000	-8.621110	0.992903	3.537407	1.08108e-05	3.05614e-06
1	12000	-8.311495	0.998866	3.497928	1.17929e-05	3.37139e-06
1	13000	-24.729101	0.996816	3.540010	1.27722e-05	3.60794e-06
1	14000	-23.647423	0.992456	3.494911	1.37519e-05	3.93484e-06
1	15000	-18.527924	0.988671	3.549136	1.47321e-05	4.1509e-06
1	16000	-15.379010	0.982726	3.488937	1.57137e-05	4.50388e-06
1	17000	4.959266	0.983817	3.358501	1.66949e-05	4.97093e-06
1	18000	5.302954	1.000152	3.490757	1.76742e-05	5.06314e-06
1	19000	20.959208	0.984597	3.445266	1.86567e-05	5.41518e-06
1	20000	11.186167	0.983108	3.498756	1.96388e-05	5.61308e-06
1	21000	9.346811	0.985314	3.518836	2.06167e-05	5.85895e-06
1	22000	3.083966	0.971649	3.404769	2.16099e-05	6.34696e-06
1	23000	-15.206891	0.941391	3.376764	2.36179e-05	6.99423e-06
1	24000	-35.450989	0.977814	3.498375	2.35611e-05	6.73486e-06
1	25000	-38.020897	0.969042	3.439021	2.45417e-05	7.13626e-06
