for bs in 16 32 64; do \
		for size in 16 32 64 128 256 512; do \
			./monteCarlo "$((size * 1024))" "$bs" ;\
		done ;\
	done
16	16384	0.4130	152.019
16	32768	0.4170	259.241
16	65536	0.4189	440.620
16	131072	0.4198	663.857
16	262144	0.4195	906.295
16	524288	0.4190	1083.813
32	16384	0.4130	150.899
32	32768	0.4170	282.327
32	65536	0.4189	479.962
32	131072	0.4198	870.193
32	262144	0.4195	1313.031
32	524288	0.4190	1770.286
64	16384	0.4130	152.472
64	32768	0.4170	287.318
64	65536	0.4189	539.942
64	131072	0.4198	915.921
64	262144	0.4195	1502.292
64	524288	0.4190	2156.641
