1	25	28.689445	28.110191
2	25	28.689445	49.504917
4	25	28.689445	84.461472
8	25	28.689445	111.624855
1	50	28.687968	28.707218
2	50	28.687968	54.025288
4	50	28.687968	102.660034
8	50	28.687968	179.597534
1	100	28.687615	28.783518
2	100	28.687615	54.808334
4	100	28.687615	108.600281
8	100	28.687615	209.122955
1	200	28.687528	28.526276
2	200	28.687528	55.115868
4	200	28.687528	109.825203
8	200	28.687528	218.023621
1	400	28.687507	28.223621
2	400	28.687507	54.909462
4	400	28.687507	109.825981
8	400	28.687507	219.876007
1	800	28.687502	28.564976
2	800	28.687502	54.855251
4	800	28.687502	109.873680
8	800	28.687502	219.621323
1	1600	28.687500	28.466427
2	1600	28.687500	54.468304
4	1600	28.687500	109.579903
8	1600	28.687500	218.680298
1	3200	28.687500	28.226259
2	3200	28.687500	54.962315
4	3200	28.687500	108.740952
8	3200	28.687500	218.371841
