1	100	0.210000	16.074581
2	100	0.210000	24.931602
4	100	0.210000	32.395287
8	100	0.210000	32.701138
1	200	0.230000	17.101204
2	200	0.230000	27.809040
4	200	0.230000	41.650188
8	200	0.230000	48.009918
1	400	0.205000	17.894020
2	400	0.205000	30.560461
4	400	0.205000	52.404812
8	400	0.205000	70.311325
1	800	0.201250	18.628920
2	800	0.201250	33.335991
4	800	0.201250	58.749660
8	800	0.201250	94.283508
1	1600	0.197500	18.556532
2	1600	0.197500	35.088528
4	1600	0.197500	65.106705
8	1600	0.197500	114.605042
1	3200	0.198750	18.578079
2	3200	0.198750	35.122421
4	3200	0.198750	67.395164
8	3200	0.198750	127.719498
1	6400	0.198906	18.735579
2	6400	0.198906	35.387432
4	6400	0.198906	70.187630
8	6400	0.198906	132.868286
1	20000	0.190600	18.737085
2	20000	0.190600	36.303623
4	20000	0.190600	71.098198
8	20000	0.190600	139.729172
1	40000	0.189600	18.684673
2	40000	0.189600	34.356262
4	40000	0.189600	71.070427
8	40000	0.189600	139.474380
1	100000	0.189410	18.761656
2	100000	0.189410	36.180447
4	100000	0.189410	71.903755
8	100000	0.189410	144.528091
